stkcd,day,open_morning,close_morning,volume_morning,high_morning,low_morning,open_afternoon,close_afternoon,volume_afternoon,high_afternoon,low_afternoon,rtn_morning,rtn_afternoon,lh_rtnDiff,lh_volDiff,std_morning,std_afternoon,lh_stdDiff,daily_return,volatility_morning,volatility_afternoon,avg_volatility_morning,avg_volatility_afternoon,intraDSRtn_byT,intraDSVol_byT,intraDSStd_byP,intraDSVol_byP,intraDSStd_byV,intraDSRtn_byV,intraDSRtn_byT_20d_mean,intraDSVol_byT_20d_mean,intraDSStd_byP_20d_mean,intraDSVol_byP_20d_mean,intraDSStd_byV_20d_mean,intraDSRtn_byV_20d_mean
000001.XSHE,2022-12-01,1657.9100000000,1635.6100000000,1312148.0000000000,1692.6100000000,1626.9300000000,1628.1700000000,1623.2200000000,305936.0000000000,1629.4100000000,1619.5000000000,-0.01345066981923023565814790911,-0.003040223072529281340400572422,0.01041044674670095431774733669,0.2331566256245484503272496700,0.039616143216459274,0.006086588009851551,0.15363908537474097,-0.0340912564731201203220816698,0.03961614321645927704157644263,0.006086588009851551127953469232,0.011952339642193959,0.004102918557014895,0.6309020254231147,0.6218539952151937,0.7334839618445101,0.6218539952151937,0.7334839618445101,0.6309020254231147,0.6309020254231147,0.6218539952151937,0.7334839618445101,0.6218539952151937,0.7334839618445101,0.6309020254231147
000001.XSHE,2022-12-02,1628.1700000000,1579.8500000000,910072.0000000000,1629.4100000000,1572.4100000000,1602.1500000000,1598.4400000000,136144.0000000000,1603.3900000000,1598.4400000000,-0.02967749067972017664003144635,-0.002315638360952470118278563181,0.02736185231876770652175288317,0.1495969549662004764458196714,0.03500862932003415,0.003089598352214212,0.08825247980920374,0.035294489983226255657182644,0.03500862932003414876824901577,0.003089598352214212152420185376,0.011952339642193959,0.004102918557014895,0.8549742834206504,0.7397401683711611,0.8375889648382782,0.7397401683711611,0.8375889648382782,0.8549742834206504,0.7429381544218825,0.6807970817931774,0.7855364633413942,0.6807970817931774,0.7855364633413942,0.7429381544218825
000001.XSHE,2022-12-05,1621.9800000000,1635.6100000000,705372.0000000000,1640.5600000000,1612.0700000000,1676.5000000000,1676.5000000000,379124.0000000000,1678.9800000000,1672.7800000000,0.008403309535259374344936435714,0,-0.008403309535259374344936435714,0.5374809320472034614359515263,0.017564951479056463,0.003698180733671339,0.21054317958582794,0.021209212465074192503102818,0.01756495147905646185526332014,0.003698180733671339099314047122,0.011952339642193959,0.004102918557014895,0.9988114070975173,0.30082914090692053,0.651844336166377,0.30082914090692053,0.651844336166377,0.9988114070975173,0.8282292386470941,0.5541411014977584,0.7409724209497218,0.5541411014977584,0.7409724209497218,0.8282292386470941
000001.XSHE,2022-12-06,1652.9600000000,1670.3000000000,653014.0000000000,1680.2200000000,1641.8000000000,1656.6700000000,1664.1100000000,195782.0000000000,1665.3500000000,1655.4300000000,0.01049027199690252637692382151,0.004490936637954450795873650154,-0.005999335358948075581050171356,0.2998128677179968576477686543,0.02324315167941148,0.005987915517272601,0.25762063595603646,-0.0229958690055678620607076573,0.02324315167941148001161552609,0.005987915517272601061164866871,0.011952339642193959,0.004102918557014895,0.40019023849742535,0.5386830286601412,0.5901028182752377,0.5386830286601412,0.5901028182752377,0.40019023849742535,0.7212194886096769,0.550276583288354,0.7032550202811008,0.550276583288354,0.7032550202811008,0.7212194886096769
000001.XSHE,2022-12-07,1651.7200000000,1631.8900000000,394468.0000000000,1656.6700000000,1631.8900000000,1623.2200000000,1629.4100000000,277266.0000000000,1631.8900000000,1623.2200000000,-0.01200566682004213789262102536,0.003813407917595889651433570311,0.01581907473763802754405459567,0.7028859121652453430950039040,0.015002542803865062,0.005341235322383904,0.3560220018840977,0.009871988920821869121080465,0.01500254280386506187489404984,0.005341235322383903599019233376,0.011952339642193959,0.004102918557014895,0.9993682511349686,0.1744768018266981,0.47466899862790524,0.1744768018266981,0.47466899862790524,0.9993682511349686,0.7768492411147353,0.47511662699602286,0.6575378159504617,0.47511662699602286,0.6575378159504617,0.7768492411147353
000001.XSHE,2022-12-08,1629.4100000000,1648.0000000000,331612.0000000000,1649.2400000000,1625.7000000000,1656.6700000000,1655.4300000000,180984.0000000000,1662.8700000000,1654.1900000000,0.01140903762711656366414837272,-0.0007484894396590751326456083589,-0.01215752706677563879679398108,0.5457703581293801189341760853,0.014446947054455294,0.005239426077613526,0.3626666629194671,0.011280339805825242718446602,0.01444694705445529363389202227,0.005239426077613525928519258513,0.011952339642193959,0.004102918557014895,0.999178140311904,0.2938532489466587,0.4674729157039812,0.2938532489466587,0.4674729157039812,0.999178140311904,0.8139040576475968,0.44490606398779553,0.6258603325760482,0.44490606398779553,0.6258603325760482,0.8139040576475968
000001.XSHE,2022-12-09,1660.3900000000,1666.5900000000,728878.0000000000,1703.7600000000,1660.3900000000,1697.5600000000,1697.5600000000,376564.0000000000,1702.5200000000,1691.3700000000,0.003734062479297032624865242503,0,-0.003734062479297032624865242503,0.5166351570496022653996965199,0.026120369310824565,0.006568250901293622,0.2514608741987299,0.002970136626284809101218656,0.02612036931082456531296863990,0.006568250901293621433115766158,0.011952339642193959,0.004102918557014895,0.9973291044005554,0.318708715605896,0.5979493410637823,0.318708715605896,0.5979493410637823,0.9973291044005554,0.8401076357551622,0.4268778713618099,0.6218730480742959,0.4268778713618099,0.6218730480742959,0.8401076357551622
000001.XSHE,2022-12-12,1682.6900000000,1671.5400000000,417852.0000000000,1682.6900000000,1661.6300000000,1628.1700000000,1624.4600000000,403150.0000000000,1629.4100000000,1618.2600000000,-0.006626294801775728149570033696,-0.002278631838198713893512348219,0.004347662963577014256057685477,0.9648152934531843810727243139,0.012515674307210478,0.006848179244182118,0.5471682209113394,-0.0200114864137262644028859614,0.01251567430721047846008474526,0.006848179244182118574841693435,0.011952339642193959,0.004102918557014895,0.48768353786358,0.017907386339888243,0.2925331838601092,0.017907386339888243,0.2925331838601092,0.48768353786358,0.7960546235187145,0.37575656073406966,0.5807055650475226,0.37575656073406966,0.5807055650475226,0.7960546235187145
000001.XSHE,2022-12-13,1629.4100000000,1638.0900000000,404234.0000000000,1648.0000000000,1628.1700000000,1641.8000000000,1640.5600000000,142814.0000000000,1643.0400000000,1638.0900000000,0.005327081581676803260075732934,-0.0007552686076257765866731636009,-0.006082350189302579846748896535,0.3532953685241716431571812366,0.012170049281641821,0.0030149835546351565,0.24773799060807214,0,0.01217004928164182127273062029,0.003014983554635156535509806310,0.011952339642193959,0.004102918557014895,0.9983585973082181,0.4778739708311177,0.6025038462009538,0.4778739708311177,0.6025038462009538,0.9983585973082181,0.8185328428286593,0.3871029396337417,0.5831275962867928,0.3871029396337417,0.5831275962867928,0.8185328428286593
000001.XSHE,2022-12-14,1639.3300000000,1638.0900000000,346078.0000000000,1643.0400000000,1620.7400000000,1641.8000000000,1639.3300000000,244424.0000000000,1643.0400000000,1633.1300000000,-0.0007564065807372524140960026352,-0.001504446339383603362163479108,-0.0007480397586463509480674764728,0.7062685290599229075526326435,0.01360311834712962,0.006036057985138263,0.443726050976534,-0.0151334786244956015847725094,0.01360311834712962002769424094,0.006036057985138262882202460714,0.011952339642193959,0.004102918557014895,0.32940916253023556,0.17214844318610018,0.38510827293888794,0.17214844318610018,0.38510827293888794,0.32940916253023556,0.7696204747988169,0.3656074899889775,0.5633256639520023,0.3656074899889775,0.5633256639520023,0.7696204747988169
